page,size,mode,k_coverage,color_coverage
1,A4,B&W,0.1293%,0.0000%
2,A4,Color,1.4277%,0.5746%
3,A4,B&W,1.8785%,0.0000%
4,A4,B&W,3.7729%,0.0000%
5,A4,B&W,1.7359%,0.0000%
6,A4,B&W,5.0818%,0.0000%
7,A4,B&W,2.1413%,0.0000%
8,A4,B&W,1.8973%,0.0000%
9,A4,B&W,1.3217%,0.0000%
10,A4,B&W,0.1347%,0.0000%
11,A4,B&W,5.4494%,0.0000%
12,A4,B&W,2.0571%,0.0000%
13,A4,B&W,4.7907%,0.0000%
14,A4,B&W,3.9988%,0.0000%
15,A4,B&W,3.6194%,0.0000%
16,A4,Color,2.9770%,0.0379%
17,A4,Color,4.4457%,0.5155%
18,A4,B&W,0.9084%,0.0000%
19,A4,B&W,4.5890%,0.0000%
20,A4,B&W,4.9799%,0.0000%
21,A4,B&W,4.1770%,0.0000%
22,A4,B&W,3.4550%,0.0000%
23,A4,B&W,5.1725%,0.0000%
24,A4,B&W,5.0002%,0.0000%
25,A4,B&W,5.3189%,0.0000%
26,A4,B&W,5.3024%,0.0000%
27,A4,B&W,5.1848%,0.0000%
28,A4,B&W,5.3520%,0.0000%
29,A4,B&W,1.9667%,0.0000%
30,A4,B&W,2.0509%,0.0000%
31,A4,B&W,3.0502%,0.0000%
32,A4,B&W,5.9513%,0.0000%
33,A4,B&W,5.5797%,0.0000%
34,A4,B&W,1.9319%,0.0000%
35,A4,B&W,4.8870%,0.0000%
36,A4,B&W,5.2238%,0.0000%
37,A4,B&W,1.8886%,0.0000%
38,A4,B&W,0.1869%,0.0000%
39,A4,B&W,0.1361%,0.0000%
40,A4,B&W,0.2015%,0.0000%
41,A4,Color,1.0722%,1.3809%
42,A4,Color,8.6112%,0.0184%
43,A4,B&W,0.1981%,0.0000%
44,A4,Color,1.5520%,0.8435%
45,A4,Color,2.0809%,3.7687%
46,A4,Color,9.6796%,0.0593%
47,A4,Color,0.9254%,4.0354%
48,A4,Color,2.3592%,1.5470%
49,A4,B&W,0.1965%,0.0000%
50,A4,Color,0.9449%,3.0975%
51,A4,B&W,0.1005%,0.0000%
52,A4,Color,2.0092%,1.4805%
53,A4,Color,12.1590%,9.9381%
54,A4,Color,11.0923%,5.0307%
55,A4,Color,12.0535%,8.9639%
56,A4,Color,18.8606%,8.8333%
57,A4,Color,13.3058%,18.1531%
58,A4,Color,8.5159%,7.6097%
59,A4,Color,12.2277%,6.8974%
60,A4,Color,10.5229%,4.7371%
61,A4,Color,14.5361%,7.5385%
62,A4,Color,10.3454%,6.7897%
63,A4,Color,10.7711%,4.7591%
64,A4,Color,15.0945%,7.2963%
65,A4,Color,15.7251%,7.7692%
66,A4,Color,9.9899%,6.5098%
67,A4,Color,16.7075%,13.1875%
68,A4,Color,27.2844%,4.8251%
69,A4,Color,4.3223%,2.6854%
70,A4,Color,10.8482%,8.8872%
